"Text","Date","Time","Draft","Brand name","Instagram","Picture Url 1","Picture Url 2","Picture Url 3","Picture Url 4","Picture Url 5","Picture Url 6","Picture Url 7","Picture Url 8","Picture Url 9","Picture Url 10","Instagram Post Type"
"Günün kavramı: Beklenti yönetimi

Karşındakinin ne bekleyeceğini önceden netleştirerek hayal kırıklığını azaltma.

‘Cuma’ya bitiririm’ deyip pazartesi teslim etmek güveni zedeler. ‘Cuma’ya bitirmeyi hedefliyorum, pazartesiyi de tampon tutuyorum’ demek daha dürüst. Az söz ver, çok yap.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #iletişim #işhayatı #güven #bilgi","2026-10-23","10:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_106_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Dikkatimiz neden dağılıyor? 5 sebep

Sorun sadece irade değil.

1. Bildirimler
2. Aynı anda birkaç iş
3. Yorgunluk
4. Belirsiz hedef
5. Ortam

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#dikkat #odak #psikoloji #kişiselgelişim #kaydet","2026-10-23","12:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_106_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_106_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_106_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_106_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_106_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_106_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_106_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Ortak alan trajedisi

Herkesin kullandığı ama kimsenin sorumlu olmadığı kaynağın, aşırı kullanılıp tükenmesi.

Ofis mutfağı, ortak klasör, ortak bütçe. ‘Bir kişi fazla kullanırsa ne olur ki’ diyen herkes kullanır ve hepsi kaybeder. Çözüm: Açık kurallar ve görünürlük.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #davranışbilimi #ekonomi #işhayatı #bilgi","2026-10-23","14:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_107_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Hazırlıksız toplantıya girersen 5 kurtarıcı soru

Bazen bilgi yetmez. Soru yeter.

1. ‘Bu toplantının amacı ne?’
2. ‘Başarı neye benzer?’
3. ‘Hangi bilgiye sahibiz, hangisi eksik?’
4. ‘Kim, ne zamana kadar, ne yapacak?’
5. ‘Bir sonraki adım ne?’

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#toplantı #işhayatı #iletişim #kariyer #kaydet","2026-10-23","16:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_107_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_107_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_107_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_107_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_107_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_107_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_107_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Bilgi kaskadı

Kendi bilgimizi bırakıp, başkalarının kararını izleyerek karar vermek.

Bir restoranın önünde kuyruk var, sen de girersin. Herkes önceki kişinin bir şey bildiğini varsayar; oysa hiçbiri bilmeyebilir. Karar zinciri, tek bir ilk kişinin tahminine dayanabilir.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #davranışbilimi #kararverme #psikoloji #bilgi","2026-10-23","18:00:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_108_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Marketteki birim fiyatı okumak

Büyük paket her zaman ucuz değildir.

1. Birim fiyat nedir?
2. Neden önemli?
3. Büyük paket her zaman ucuz değil
4. İndirimde de bak
5. Kural

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#kişiselfinans #alışveriş #market #tasarruf #kaydet","2026-10-23","21:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_108_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_108_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_108_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_108_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_108_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_108_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_108_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Sonuç yanlılığı

Bir kararı, alındığı andaki mantığa göre değil, sonucuna göre değerlendirmek.

Riskli bir yatırım tutunca ‘iyi karardı’ demek. Tutmasaydı ‘kötü karardı’ derdin. Karar iyi olabilir ve sonuç kötü çıkabilir, tersi de olabilir. Süreç ve sonuç ayrı ayrı değerlendirilmeli.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #kararverme #davranışbilimi #psikoloji #bilgi","2026-10-24","10:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_109_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Verdiğin karardan pişman olduğunda 5 adım

Pişmanlık, öğrenmenin ham maddesidir.

1. Kararı ve sonucu ayır
2. O günün bilgisini hatırla
3. Bir şey öğren
4. Düzeltilebilir mi?
5. Kendine nazik ol

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#pişmanlık #kararverme #zihin #kişiselgelişim #kaydet","2026-10-24","12:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_109_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_109_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_109_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_109_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_109_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_109_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_109_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Geriye dönük yanlılık

Bir şey olduktan sonra, ‘zaten belliydi’ diye düşünme eğilimi.

Proje başarısız olunca herkes ‘ben demiştim’ der. Oysa o gün kimse bilmiyordu. Bu yanlılık, geçmişten gerçekten öğrenmeyi zorlaştırır: Belirsizliği unuturuz. Tahminlerini önceden yaz.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #davranışbilimi #psikoloji #öğrenme #bilgi","2026-10-24","14:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_110_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Zor sorulara yanıt: 6 adım

Sunum sonrası soru-cevap bölümü için.

1. Soruyu dinle
2. Soruyu tekrar et
3. Bilmiyorsan söyle
4. Kısa cevap ver
5. Kanıt göster
6. Takip et

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#sunum #iletişim #işhayatı #kariyer #kaydet","2026-10-24","16:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_110_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_110_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_110_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_110_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_110_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_110_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_110_1930_carousel/gorsel_7.png","https://iletisim-prog.github.io/gorseller/GUN_110_1930_carousel/gorsel_8.png","","","POST"
"Günün kavramı: İlerleme ilkesi

İşte anlamlı küçük ilerlemeler görmek, motivasyonu en çok artıran şeylerden biridir.

Büyük proje uzun sürüyorsa, her hafta bitirdiğin küçük şeyi bir yere yaz. Araştırmacı Teresa Amabile, küçük ilerlemenin iş hayatında iyi hissetmenin önemli bir parçası olduğunu gösterdi.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #motivasyon #işhayatı #kişiselgelişim #bilgi","2026-10-24","18:00:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_111_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
"Ürün küçüldü, fiyat aynı: shrinkflation

Gizli zam bazen ambalajın içindedir.

1. Shrinkflation nedir?
2. Neden bu yolu seçerler?
3. Nasıl fark edilir?
4. Neye bakmalı?
5. Kural

Kaydet, aklına gelen birine gönder.

Zeki Uyanık

#tüketici #shrinkflation #enflasyon #alışveriş #kaydet","2026-10-24","21:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_111_1930_carousel/gorsel_1.png","https://iletisim-prog.github.io/gorseller/GUN_111_1930_carousel/gorsel_2.png","https://iletisim-prog.github.io/gorseller/GUN_111_1930_carousel/gorsel_3.png","https://iletisim-prog.github.io/gorseller/GUN_111_1930_carousel/gorsel_4.png","https://iletisim-prog.github.io/gorseller/GUN_111_1930_carousel/gorsel_5.png","https://iletisim-prog.github.io/gorseller/GUN_111_1930_carousel/gorsel_6.png","https://iletisim-prog.github.io/gorseller/GUN_111_1930_carousel/gorsel_7.png","","","","POST"
"Günün kavramı: Sosyal karşılaştırma

Kendimizi, başkalarıyla kıyaslayarak değerlendirme eğilimi.

Sosyal medyada başkalarının en güzel anlarını görürsün, kendi tam günlerini onlarla kıyaslarsın. Psikolog Leon Festinger bunu 1954’te tanımladı. Kıyasla ölçtüğün şeyi, bilerek seç.

Kaydet, lazım olur.

Zeki Uyanık

#gününkavramı #davranışbilimi #sosyalmedya #psikoloji #bilgi","2026-10-25","10:30:00","FALSE","","TRUE","https://iletisim-prog.github.io/gorseller/GUN_112_0830_kavram/gorsel_1.png","","","","","","","","","","POST"
